@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
99,'2020/01/11 13:40:25:234',1,214.1875,291.765625,1
100,'2020/01/11 13:40:25:244',1,212.4375,292.270813,1
101,'2020/01/11 13:40:25:255',1,211.5625,293.28125,1
102,'2020/01/11 13:40:25:265',1,211.125,294.291687,1
103,'2020/01/11 13:40:25:276',1,211.125,294.796875,1
104,'2020/01/11 13:40:25:286',1,210.25,295.302063,1
105,'2020/01/11 13:40:25:296',1,208.0625,296.3125,1
106,'2020/01/11 13:40:25:307',1,208.0625,296.3125,1
107,'2020/01/11 13:40:25:317',1,207.1875,296.3125,1
108,'2020/01/11 13:40:25:327',1,205,296.3125,1
109,'2020/01/11 13:40:25:338',1,204.125,296.3125,1
110,'2020/01/11 13:40:25:348',1,201.9375,296.817688,1
111,'2020/01/11 13:40:25:358',1,201.0625,297.322937,1
112,'2020/01/11 13:40:25:368',1,200.625,297.828125,1
113,'2020/01/11 13:40:25:378',1,200.625,297.828125,1
114,'2020/01/11 13:40:25:389',1,200.1875,298.333313,1
115,'2020/01/11 13:40:25:399',1,325.75,296.817688,1
116,'2020/01/11 13:40:25:409',1,197.5625,299.848938,1
117,'2020/01/11 13:40:25:420',1,197.125,299.848938,1
118,'2020/01/11 13:40:25:430',1,195.375,299.848938,1
119,'2020/01/11 13:40:25:440',1,194.0625,299.34375,1
120,'2020/01/11 13:40:25:450',1,193.625,298.838562,1
121,'2020/01/11 13:40:25:461',1,192.3125,298.333313,1
122,'2020/01/11 13:40:25:471',1,191.4375,297.828125,1
123,'2020/01/11 13:40:25:481',1,191.4375,297.828125,1
124,'2020/01/11 13:40:25:492',1,191.4375,297.828125,1
125,'2020/01/11 13:40:25:502',1,191,298.333313,1
126,'2020/01/11 13:40:25:512',1,190.5625,298.333313,1
127,'2020/01/11 13:40:25:522',1,190.5625,298.333313,1
128,'2020/01/11 13:40:25:533',1,190.125,298.838562,1
129,'2020/01/11 13:40:25:543',1,189.6875,298.838562,1
130,'2020/01/11 13:40:25:553',1,188.375,298.333313,1
131,'2020/01/11 13:40:25:564',1,187.5,297.322937,1
132,'2020/01/11 13:40:25:574',1,187.0625,296.3125,1
133,'2020/01/11 13:40:25:584',1,186.625,295.302063,1
134,'2020/01/11 13:40:25:595',1,186.1875,294.291687,1
135,'2020/01/11 13:40:25:605',1,186.1875,292.776062,1
136,'2020/01/11 13:40:25:615',1,186.1875,292.270813,1
137,'2020/01/11 13:40:25:626',1,186.1875,291.260437,1
138,'2020/01/11 13:40:25:636',1,186.1875,290.25,1
139,'2020/01/11 13:40:25:646',1,186.1875,288.229187,1
140,'2020/01/11 13:40:25:657',1,186.1875,287.21875,1
141,'2020/01/11 13:40:25:667',1,185.75,284.1875,1
142,'2020/01/11 13:40:25:677',1,184.875,282.166687,1
143,'2020/01/11 13:40:25:688',1,184,279.640625,1
144,'2020/01/11 13:40:25:698',1,184,277.619812,1
