@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
15045,'2020/01/11 01:54:52:365',7,343.6875,159.90625,1
15046,'2020/01/11 01:54:52:375',7,344.125,161.421875,1
15047,'2020/01/11 01:54:52:386',7,344.5625,162.9375,1
15048,'2020/01/11 01:54:52:396',7,343.6875,164.958328,1
15049,'2020/01/11 01:54:52:407',7,343.25,165.96875,1
15050,'2020/01/11 01:54:52:417',7,340.1875,168.494797,1
15051,'2020/01/11 01:54:52:428',7,338.4375,168.494797,1
15052,'2020/01/11 01:54:52:438',7,336.6875,169,1
15053,'2020/01/11 01:54:52:448',7,336.25,168.494797,1
15054,'2020/01/11 01:54:52:459',7,336.25,168.494797,1
15055,'2020/01/11 01:54:52:469',7,336.25,167.989578,1
15056,'2020/01/11 01:54:52:479',7,336.6875,167.989578,1
15057,'2020/01/11 01:54:52:490',7,336.6875,166.979172,1
15058,'2020/01/11 01:54:52:500',7,336.6875,166.473953,1
15059,'2020/01/11 01:54:52:511',7,336.25,165.96875,1
15060,'2020/01/11 01:54:52:521',7,335.8125,164.958328,1
15061,'2020/01/11 01:54:52:531',7,333.625,163.442703,1
15062,'2020/01/11 01:54:52:542',7,332.75,161.421875,1
15063,'2020/01/11 01:54:52:552',7,330.5625,158.895828,1
15064,'2020/01/11 01:54:52:563',7,329.25,157.380203,1
15065,'2020/01/11 01:54:52:573',7,329.25,156.369797,1
15066,'2020/01/11 01:54:52:584',7,329.25,154.854172,1
15067,'2020/01/11 01:54:52:594',7,329.25,152.833328,1
15068,'2020/01/11 01:54:52:605',7,329.25,151.822922,1
15069,'2020/01/11 01:54:52:615',7,329.25,149.296875,1
15070,'2020/01/11 01:54:52:625',7,329.25,149.296875,1
15071,'2020/01/11 01:54:52:636',7,328.8125,147.276047,1
15072,'2020/01/11 01:54:52:646',7,328.8125,144.75,1
15073,'2020/01/11 01:54:52:657',7,328.375,141.71875,1
15074,'2020/01/11 01:54:52:667',7,328.375,141.213547,1
15075,'2020/01/11 01:54:52:678',7,207.625,151.822922,1
15076,'2020/01/11 01:54:52:688',7,327.5,140.708328,1
15077,'2020/01/11 01:54:52:698',7,327.0625,140.203125,1
15078,'2020/01/11 01:54:52:709',7,523.5,72,1
15079,'2020/01/11 01:54:52:719',7,326.1875,139.697922,1
15080,'2020/01/11 01:54:52:730',7,326.1875,139.192703,1
15081,'2020/01/11 01:54:52:740',7,326.1875,139.192703,1
15082,'2020/01/11 01:54:52:750',7,326.1875,138.6875,1
15083,'2020/01/11 01:54:52:761',7,326.1875,137.677078,1
15084,'2020/01/11 01:54:52:772',7,326.1875,136.666672,1
15085,'2020/01/11 01:54:52:782',7,326.1875,136.161453,1
15086,'2020/01/11 01:54:52:792',7,326.1875,136.161453,1
15087,'2020/01/11 01:54:52:803',7,325.75,136.161453,1
