@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
99,'2020/01/12 17:33:49:700',1,296.4375,229.625,1
100,'2020/01/12 17:33:49:879',1,293.8125,228.109375,1
101,'2020/01/12 17:33:49:880',1,291.1875,227.098969,1
102,'2020/01/12 17:33:49:880',1,288.5625,226.59375,1
103,'2020/01/12 17:33:49:880',1,286.375,226.088531,1
104,'2020/01/12 17:33:49:880',1,283.75,225.583344,1
105,'2020/01/12 17:33:49:880',1,280.6875,225.583344,1
106,'2020/01/12 17:33:49:880',1,277.625,225.583344,1
107,'2020/01/12 17:33:49:880',1,275,226.59375,1
108,'2020/01/12 17:33:49:880',1,272.375,227.604156,1
109,'2020/01/12 17:33:49:880',1,269.75,228.614594,1
110,'2020/01/12 17:33:49:880',1,266.25,230.635406,1
111,'2020/01/12 17:33:49:880',1,263.625,232.151031,1
112,'2020/01/12 17:33:49:880',1,260.5625,234.171875,1
113,'2020/01/12 17:33:49:880',1,258.375,236.192719,1
114,'2020/01/12 17:33:49:880',1,255.3125,238.213531,1
115,'2020/01/12 17:33:49:880',1,252.25,239.729156,1
116,'2020/01/12 17:33:49:880',1,249.1875,241.75,1
117,'2020/01/12 17:33:49:885',1,246.125,243.770844,1
118,'2020/01/12 17:33:49:896',1,243.5,245.791656,1
119,'2020/01/12 17:33:49:906',1,240.875,248.317719,1
120,'2020/01/12 17:33:49:916',1,237.8125,251.348969,1
121,'2020/01/12 17:33:49:927',1,235.625,254.380219,1
122,'2020/01/12 17:33:49:937',1,234.3125,257.411469,1
123,'2020/01/12 17:33:49:948',1,233,260.442719,1
124,'2020/01/12 17:33:49:958',1,232.5625,263.979156,1
125,'2020/01/12 17:33:49:969',1,232.125,268.020813,1
126,'2020/01/12 17:33:49:979',1,231.6875,271.557312,1
127,'2020/01/12 17:33:49:990',1,232.5625,275.598938,1
128,'2020/01/12 17:33:50:000',1,233.875,279.640625,1
129,'2020/01/12 17:33:50:011',1,234.75,283.177063,1
130,'2020/01/12 17:33:50:021',1,236.5,286.208313,1
131,'2020/01/12 17:33:50:032',1,238.25,289.744812,1
132,'2020/01/12 17:33:50:042',1,240,292.776062,1
133,'2020/01/12 17:33:50:052',1,242.1875,295.807312,1
134,'2020/01/12 17:33:50:063',1,247.4375,301.869812,1
135,'2020/01/12 17:33:50:073',1,250.0625,304.395813,1
136,'2020/01/12 17:33:50:083',1,250.0625,304.395813,1
137,'2020/01/12 17:33:50:094',1,253.125,306.416687,1
138,'2020/01/12 17:33:50:104',1,255.75,308.4375,1
139,'2020/01/12 17:33:50:115',1,259.25,309.447937,1
140,'2020/01/12 17:33:50:125',1,268,310.963562,1
141,'2020/01/12 17:33:50:135',1,272.8125,310.963562,1
142,'2020/01/12 17:33:50:146',1,277.1875,310.458313,1
143,'2020/01/12 17:33:50:156',1,282,309.447937,1
144,'2020/01/12 17:33:50:166',1,286.375,307.932312,1
145,'2020/01/12 17:33:50:177',1,290.3125,305.911438,1
146,'2020/01/12 17:33:50:187',1,293.8125,304.395813,1
147,'2020/01/12 17:33:50:198',1,298.1875,300.859375,1
148,'2020/01/12 17:33:50:208',1,300.8125,297.828125,1
149,'2020/01/12 17:33:50:218',1,303,294.291687,1
150,'2020/01/12 17:33:50:229',1,305.1875,290.25,1
151,'2020/01/12 17:33:50:239',1,307.8125,286.208313,1
152,'2020/01/12 17:33:50:250',1,309.125,282.671875,1
153,'2020/01/12 17:33:50:260',1,311.3125,278.630188,1
154,'2020/01/12 17:33:50:270',1,313.0625,274.588562,1
155,'2020/01/12 17:33:50:281',1,314.8125,271.052063,1
156,'2020/01/12 17:33:50:291',1,315.6875,267.515625,1
157,'2020/01/12 17:33:50:302',1,316.125,263.473969,1
158,'2020/01/12 17:33:50:312',1,316.125,259.432281,1
159,'2020/01/12 17:33:50:323',1,315.6875,255.895844,1
160,'2020/01/12 17:33:50:333',1,315.6875,251.348969,1
161,'2020/01/12 17:33:50:344',1,314.8125,246.802094,1
162,'2020/01/12 17:33:50:354',1,313.9375,242.760406,1
163,'2020/01/12 17:33:50:364',1,313.0625,239.223969,1
164,'2020/01/12 17:33:50:375',1,312.625,235.182281,1
165,'2020/01/12 17:33:50:385',1,312.1875,231.140625,1
166,'2020/01/12 17:33:50:396',1,311.75,227.604156,1
167,'2020/01/12 17:33:50:406',1,310.4375,224.067719,1
168,'2020/01/12 17:33:50:416',1,309.125,222.046875,1
169,'2020/01/12 17:33:50:427',1,305.1875,216.994781,1
170,'2020/01/12 17:33:50:437',1,302.5625,214.973969,1
171,'2020/01/12 17:33:50:447',1,302.5625,214.973969,1
172,'2020/01/12 17:33:50:458',1,299.5,212.447906,1
173,'2020/01/12 17:33:50:468',1,299.5,212.447906,1
174,'2020/01/12 17:33:50:478',1,297.3125,210.932281,1
175,'2020/01/12 17:33:50:489',1,524.375,207.901031,1
176,'2020/01/12 17:33:50:499',1,288.125,204.364594,1
177,'2020/01/12 17:33:50:509',1,286.375,202.848969,1
178,'2020/01/12 17:33:50:520',1,286.375,202.848969,1
179,'2020/01/12 17:33:50:530',1,524.8125,201.333344,1
180,'2020/01/12 17:33:50:541',1,277.625,198.807281,1
181,'2020/01/12 17:33:50:551',1,274.5625,197.291656,1
182,'2020/01/12 17:33:50:562',1,271.5,196.28125,1
183,'2020/01/12 17:33:50:572',1,271.5,196.28125,1
184,'2020/01/12 17:33:50:582',1,268.875,196.28125,1
185,'2020/01/12 17:33:50:592',1,265.8125,196.786469,1
186,'2020/01/12 17:33:50:603',1,259.6875,198.302094,1
187,'2020/01/12 17:33:50:613',1,257.0625,199.3125,1
188,'2020/01/12 17:33:50:624',1,255.3125,199.817719,1
189,'2020/01/12 17:33:50:634',1,252.6875,201.838531,1
190,'2020/01/12 17:33:50:644',1,250.0625,203.354156,1
191,'2020/01/12 17:33:50:654',1,248.3125,205.375,1
192,'2020/01/12 17:33:50:665',1,245.6875,207.901031,1
193,'2020/01/12 17:33:50:675',1,242.625,209.921875,1
194,'2020/01/12 17:33:50:686',1,240.4375,211.942719,1
195,'2020/01/12 17:33:50:696',1,237.375,214.46875,1
196,'2020/01/12 17:33:50:706',1,234.75,216.994781,1
197,'2020/01/12 17:33:50:717',1,231.25,220.026031,1
198,'2020/01/12 17:33:50:727',1,228.1875,223.5625,1
199,'2020/01/12 17:33:50:737',1,225.5625,226.59375,1
200,'2020/01/12 17:33:50:748',1,223.8125,230.130219,1
201,'2020/01/12 17:33:50:758',1,221.1875,233.666656,1
202,'2020/01/12 17:33:50:769',1,220.3125,237.708344,1
203,'2020/01/12 17:33:50:779',1,218.125,241.75,1
204,'2020/01/12 17:33:50:790',1,217.6875,244.78125,1
205,'2020/01/12 17:33:50:800',1,216.8125,247.8125,1
206,'2020/01/12 17:33:50:810',1,216.8125,250.84375,1
207,'2020/01/12 17:33:50:821',1,216.8125,252.864594,1
208,'2020/01/12 17:33:50:831',1,216.375,255.895844,1
209,'2020/01/12 17:33:50:842',1,216.375,262.96875,1
210,'2020/01/12 17:33:50:852',1,216.375,266,1
211,'2020/01/12 17:33:50:862',1,216.375,266,1
212,'2020/01/12 17:33:50:873',1,215.9375,269.536438,1
213,'2020/01/12 17:33:50:883',1,216.8125,275.09375,1
214,'2020/01/12 17:33:50:893',1,523.0625,278.125,1
215,'2020/01/12 17:33:50:904',1,523.0625,280.145813,1
216,'2020/01/12 17:33:50:914',1,221.1875,284.1875,1
217,'2020/01/12 17:33:50:924',1,223.8125,285.703125,1
218,'2020/01/12 17:33:50:935',1,223.8125,285.703125,1
219,'2020/01/12 17:33:50:945',1,228.625,290.25,1
220,'2020/01/12 17:33:50:955',1,231.25,292.270813,1
221,'2020/01/12 17:33:50:966',1,233.875,294.796875,1
222,'2020/01/12 17:33:50:976',1,235.625,297.322937,1
223,'2020/01/12 17:33:50:987',1,238.25,299.848938,1
224,'2020/01/12 17:33:50:997',1,241.3125,301.869812,1
225,'2020/01/12 17:33:51:008',1,244.375,303.385437,1
226,'2020/01/12 17:33:51:018',1,248.3125,304.395813,1
227,'2020/01/12 17:33:51:028',1,251.8125,304.901062,1
228,'2020/01/12 17:33:51:039',1,256.1875,305.911438,1
229,'2020/01/12 17:33:51:050',1,261.4375,306.921875,1
